pratica;codigo_exemplo;sites;prevalencia_percentual;ocorrencias_testes;elementos_afetados;descricao_exemplo
textContrastHNot;F1;222;96.1038961038961;8183;8183;Element has contrast ratio lower than minimum.
colorContrast;F1;193;83.54978354978356;3984;3984;Element has contrast ratio lower than minimum.
linkNotAName;F1;181;78.35497835497836;2009;2009;The test target doesn't have an accessible name, or it's empty ('').
aImgAltNo;F1;134;58.00865800865801;1061;1061;The image doesn't have an accessible name.
idAttNot;F1;121;52.38095238095238;527;1801;Several elements have the same `id` attribute.
aSkipFirstNo;F3;110;47.61904761904762;110;110;The first focusable control on the Web page does not links to local content.
imgAltNo;F1;101;43.722943722943725;711;711;The test target doesn't have an accessible name.
aTitleMatch;F2;96;41.55844155844156;1620;1620;The element contains a title attribute equal to the text in the link
hxSkip;F1;87;37.66233766233766;217;217;Headings are not in the correct order.
imgAltLong;F1;86;37.22943722943723;334;334;The img alt text attribute has more than 100 characters.
layoutElem;F1;73;31.6017316017316;562;562;The webpage uses the element b to control the visual content presentation.
focusBlur;F1;65;28.138528138528137;1316;1316;Element didn't keep focus.
tableDataCaption;F1;60;25.974025974025974;157;157;The `caption` element doesn't exist or is empty ('').
aGroupNo;F1;57;24.675324675324674;141;141;It was found a group of 10 or more links not grouped within a nav element.
labelANameNot;F2;53;22.943722943722943;103;103;The complete visible text content of the test target neither matches or is contained within its accessible name.
iframeTitleNo;F1;52;22.51082251082251;71;71;The test target accessible name doesn't exist or it's empty ('').
ariaStNotPermitted;F1;48;20.77922077922078;239;239;The `aria-label` property is neither inherited nor supported by the `role` generic.
inputLabelNo;F1;47;20.346320346320347;154;154;The test target accessible name doesn't exist or it's empty ('').
labelPosNo;F2;43;18.614718614718615;65;67;The form field label is empty.
notOneh1;F2;42;18.181818181818183;270;270;
fieldLegNo;F1;33;14.285714285714286;35;35;The `fieldset` element is neither inside nor referencing a `form` element.
buttonNotAname;F1;28;12.121212121212121;89;89;The test target doesn't have an accessible name, or it's empty ('').
tableLayout;F1;27;11.688311688311689;106;106;There are missing table child elements.
colorFgBgNo;F2;26;11.255411255411255;903;903;The test target has a author defined background property but not a color css property.
langNo;F1;26;11.255411255411255;26;26;The `lang` attribute doesn't exist or is empty ('').
listNotCorrectly;F1;26;11.255411255411255;98;98;List is not used correctly
brSec;F1;24;10.38961038961039;35;35;`br` elements are being be used as a list.
hxWithoutAName;F1;23;9.956709956709958;141;141;The test target accessible name doesn't exist or it's empty ('').
elementNotHiddenFocus;F1;22;9.523809523809524;59;59;The test target is in the accessibility tree.
formSubmitNo;F1;22;9.523809523809524;25;25;Form tag doesn't contain any of the following elements input[type~='submit image'], button[type='submit'].
hxNone;F1;22;9.523809523809524;28;0;This page doesn't use headings.
imgAltNot;F1;20;8.658008658008658;103;103;Text alternative is not actually a text alternative for the non-text content.
justifiedCss;F1;19;8.225108225108226;224;224;This test target has a text-align css property not equal to justify.
elementNotDec;F1;18;7.792207792207792;175;175;The test target has focusable children.
ehandBothNo;RC3;17;7.359307359307359;94;94;The mouse event attribute doesn't have a keyboard equivalent.
aAdjacentSame;F1;16;6.926406926406926;37;37;There are consecutive links with the same href in which one of the links contained an image.
tableComplexError;F1;16;6.926406926406926;65;65;This table is a layout table with id or headers attributes.
ehandTagNo;F1;11;4.761904761904762;34;34;The element is a forced user interface control without the proper role attribute.
duplicateBanner;F1;10;4.329004329004329;10;20;There are multiple banner landmarks
langCodeNo;F1;10;4.329004329004329;10;10;The `lang` attribute does not have a valid value.
liNotSemantically;F1;10;4.329004329004329;103;103;Listitem is not used semantically not used semantically
tableNested;F1;10;4.329004329004329;54;54;There are table elements inside other table elements
elementPresentChildrenFocus;F1;9;3.896103896103896;43;43;The element has descendants in the flat tree that are part of sequential focus navigation.
notDescList;F1;8;3.463203463203463;11;11;The description list element contains an incorrect element type
contentinfoNotTopLevel;F1;6;2.5974025974025974;17;17;The complementary landmark is not at top level.
tableHdrNot;F1;6;2.5974025974025974;33;33;The column header element does not have at least one assigned cell.
complementaryNotTopLevel;F1;5;2.1645021645021645;14;14;The complementary landmark is not at top level.
metaRefresh;F1;5;2.1645021645021645;5;5;The test target refreshes after 12000 seconds.
metaRefreshNot;F1;5;2.1645021645021645;5;5;The test target refreshes after 12000 seconds.
titleLong;F1;5;2.1645021645021645;5;5;The page title has 100 or more characters.
duplicateMain;F1;4;1.7316017316017316;4;10;There are multiple main landmarks.
mainNotTopLevel;F1;4;1.7316017316017316;6;6;The main landmark is not at top level.
duplicateContentinfo;F1;3;1.2987012987012987;3;15;There are multiple banner landmarks
hxNo;F1;3;1.2987012987012987;3;3;This heading with at least one image does not have an accessible name.
linkRel;F1;2;0.8658008658008658;2;2;The element doesn't contain an href attribute and pertains navigation.
autoCmpltNotValid;F1;1;0.4329004329004329;1;1;The test target `autocomplete` attribute is not valid.
bannerNotTopLevel;F1;1;0.4329004329004329;1;1;The banner landmark is not at top level.
justifiedTxt;F1;1;0.4329004329004329;1;1;This content shouldn't be justified.
scrollableAccessNot;F1;1;0.4329004329004329;1;1;This vertically/horizontally scrollable section element is not included in sequential focus navigation, nor does it have any descendants that are.
